name,type,variant
Design Your Indulgence Duo Ice Creams,Combo,DUO_200ML_200ML
Egg Based Paan & Gulkand Ice Cream,Ice Cream,MINI_TUB_160GMS
Egg Based Paan & Gulkand Ice Cream,Ice Cream,REGULAR_TUB_220GMS
Egg Strawberry Cream Cheese Ice Cream,Ice Cream,MINI_TUB_160GMS
Egg Strawberry Cream Cheese Ice Cream,Ice Cream,REGULAR_TUB_220GMS
Eggless Alphonso Mango Ice Cream,Ice Cream,PERFECT_PLENTY_200GMS
Eggless Banoffee Ice Cream,Ice Cream,FAMILY_TUB_700ML
Eggless Banoffee Ice Cream,Ice Cream,FAMILY_TUB_725ML
Eggless Banoffee Ice Cream,Ice Cream,JUNIOR_SCOOP_60GMS
Eggless Banoffee Ice Cream,Ice Cream,MINI_TUB_200ML
Eggless Banoffee Ice Cream,Ice Cream,PERFECT_PLENTY_300ML
Eggless Banoffee Ice Cream,Ice Cream,REGULAR_SCOOP_120GMS
Eggless Banoffee Ice Cream,Ice Cream,REGULAR_TUB_220GMS
Eggless Banoffee Ice Cream,Ice Cream,REGULAR_TUB_300ML
Eggless Cherry & Chocolate,Ice Cream,MINI_TUB_200ML
Eggless Cherry & Chocolate Ice Cream,Ice Cream,FAMILY_TUB_725ML
Eggless Cherry & Chocolate Ice Cream,Ice Cream,JUNIOR_SCOOP_60GMS
Eggless Cherry & Chocolate Ice Cream,Ice Cream,MINI_TUB_200ML
Eggless Cherry & Chocolate Ice Cream,Ice Cream,PERFECT_PLENTY_300ML
Eggless Cherry & Chocolate Ice Cream,Ice Cream,REGULAR_SCOOP_120GMS
Eggless Cherry & Chocolate Ice Cream,Ice Cream,REGULAR_TUB_220GMS
Eggless Cherry & Chocolate Ice Cream,Ice Cream,REGULAR_TUB_300ML
Eggless Chocolate Ice Cream,Ice Cream,FAMILY_TUB_700ML
Eggless Chocolate Ice Cream,Ice Cream,FAMILY_TUB_725ML
Eggless Chocolate Ice Cream,Ice Cream,JUNIOR_SCOOP_60GMS
Eggless Chocolate Ice Cream,Ice Cream,MINI_TUB_200ML
Eggless Chocolate Ice Cream,Ice Cream,PERFECT_PLENTY_200GMS
Eggless Chocolate Ice Cream,Ice Cream,PERFECT_PLENTY_300ML
Eggless Chocolate Ice Cream,Ice Cream,PERFECT_PLENTY_325ML
Eggless Chocolate Ice Cream,Ice Cream,REGULAR_SCOOP_120GMS
Eggless Chocolate Ice Cream,Ice Cream,REGULAR_TUB_300ML
Eggless Chocolate Overload,Ice Cream,FAMILY_TUB_500GMS
Eggless Chocolate Overload,Ice Cream,FAMILY_TUB_700ML
Eggless Chocolate Overload,Ice Cream,FAMILY_TUB_725ML
Eggless Chocolate Overload,Ice Cream,JUNIOR_SCOOP_60GMS
Eggless Chocolate Overload,Ice Cream,MINI_TUB_160GMS
Eggless Chocolate Overload,Ice Cream,MINI_TUB_200ML
Eggless Chocolate Overload,Ice Cream,PERFECT_PLENTY_300ML
Eggless Chocolate Overload,Ice Cream,REGULAR_SCOOP_120GMS
Eggless Chocolate Overload,Ice Cream,REGULAR_TUB_220GMS
Eggless Chocolate Overload,Ice Cream,REGULAR_TUB_300ML
