parent_cluster_name,parent_cluster_type,child_cluster_name,menu_item_id,variant_id,mapping_count,verified_mapping_count,source_item_count,source_item_ids,source_item_kinds,item_row_count,addon_row_count,raw_name_count,raw_names,historical_merged_source_count,historical_merged_source_names
Coffee Banana Cheesecake,Dessert,1_PIECE,de044fa7-f3c5-5e80-9ff5-accf9727b3de,f8b92f1e-8f3b-5a1c-8615-215dd0b3a4cc,1,1,1,1297192453,item,42,0,1,Coffee Banana Cheesecake,0,
Cream Cheese Fruit Medley Cake,Dessert,1_PIECE,c674e969-50c1-534c-ad57-84a5b83cc6bf,f8b92f1e-8f3b-5a1c-8615-215dd0b3a4cc,1,1,1,1283487201,item,1,0,1,Cream Cheese Fruit Medley Cake,0,
Custom Diwali Cookie Set,Dessert,1_PIECE,a7b02a14-f022-5526-aedd-68d50742be75,f8b92f1e-8f3b-5a1c-8615-215dd0b3a4cc,1,1,1,1292347283,item,4,0,1,Custom Diwali Cookie Set,0,
Dark Double Chocolate Cookie,Dessert,2_PIECES,b957edcc-f00f-517f-94d4-b20d96109456,5f354550-0f38-58c3-ad16-97672a66817d,1,1,1,1291691127,item,5,0,1,Dark Double Chocolate Cookie(2pcs),0,
Deconstructed Coffee Tres Leches,Dessert,1_PIECE,26515b03-bc83-5bb5-89d0-47d9e1563f2e,f8b92f1e-8f3b-5a1c-8615-215dd0b3a4cc,1,1,1,1301792797,item,149,0,1,Deconstructed Coffee Tres Leches,0,
Employee Dessert ( Any 1 ),Dessert,1_PIECE,333fab67-306a-5a00-9e14-488ac4927ab6,f8b92f1e-8f3b-5a1c-8615-215dd0b3a4cc,1,1,1,1292464076,item,49,0,1,Employee Dessert ( Any 1 ),0,
Fudgy Chocolate Brownie,Dessert,1_PIECE,1182c413-4f67-5339-adb3-b4329846ab53,f8b92f1e-8f3b-5a1c-8615-215dd0b3a4cc,4,4,4,1293968810 | 60840446 | 60841060 | b48d80d1-5208-54f6-9df9-d1e82b43ff05,addon | item | unknown,47,4,2,Fudgy Chocolate Brownie | Fudgy Chocolate Brownie (1pc),0,
Fudgy Chocolate Brownie,Dessert,2_PIECES,1182c413-4f67-5339-adb3-b4329846ab53,5f354550-0f38-58c3-ad16-97672a66817d,1,1,1,1295954711,item,92,0,1,Fudgy Chocolate Brownie (2pcs) - Round Shape,0,
New York Baked Cheesecake Eggless,Dessert,1_PIECE,6d2881a0-8482-57ba-893b-fbfc9ddcd367,f8b92f1e-8f3b-5a1c-8615-215dd0b3a4cc,1,1,1,1291293953,item,338,0,1,New York Baked Cheesecake Eggless,0,
Nona’s Traditional Plum Cake Eggless Contains Alcohol,Dessert,1_PIECE,eb43e82b-3d0c-5e2c-9e41-d8db18962404,f8b92f1e-8f3b-5a1c-8615-215dd0b3a4cc,1,1,1,1296057737,item,36,0,5,D&amp;N Traditional Plum Cake (Eggless) Contains Alcohol | D&n Traditional Plum Cake (eggless) 310gm Contains Alcohol | D&n Traditional Plum Cake (eggless) 325gm Contains Alcohol | D&n Traditional Plum Cake (eggless) Contains Alcohol | Nona’s Traditional Plum Cake (eggless) Contains Alcohol,0,
Orange & Chocolate Cheesecake,Dessert,1_PIECE,d4c5cdb2-07f9-53bd-a880-740ba64b42f6,f8b92f1e-8f3b-5a1c-8615-215dd0b3a4cc,1,1,1,1294028425,item,271,0,2,Orange & Chocolate Cheesecake | Orange &amp; Chocolate Cheesecake,0,
Tres Leches,Dessert,1_PIECE,ca612c98-acf6-52c7-9617-0dbc7e014953,f8b92f1e-8f3b-5a1c-8615-215dd0b3a4cc,1,1,1,1288297411,item,750,0,1,Tres Leches,0,
