merge_id,merged_at,payload_kind,source_id,source_name,source_type,target_id_at_event,target_name_at_event,current_target_id,current_target_name,current_target_type,variant_assignments,affected_source_item_count,affected_source_item_ids,source_item_kinds,item_row_count,addon_row_count,raw_name_count,raw_names,mapping_rows_count,order_item_rows_count,order_item_addons_count
13,2026-04-09 12:46:56,variant_merge_v1,8c407db0-0411-5d34-aea4-e3592d743699,Coffee Mascarpone (60gm),Ice Cream,af4a5711-e1b4-5418-b2cb-b87a62903ee8,af4a5711-e1b4-5418-b2cb-b87a62903ee8,1b1a56f0-7e0a-5f7c-93b7-9543004db816,Coffee Mascarpone Ice Cream,Ice Cream,1_PIECE -> JUNIOR_SCOOP_60GMS,1,2a373e6d-15af-593c-b34b-0a999a41b01d,,0,0,0,,1,0,14
12,2026-04-09 12:46:50,variant_merge_v1,227dd65a-91f4-549e-b529-9522eeef139f,Coconut & Pineapple (60gm),Ice Cream,9d84af2f-7d38-53d7-9c66-cd95853bdf44,Coconut & Pineapple,b8623fbc-4da8-5c97-afea-180e45592597,Eggless Coconut & Pineapple Ice Cream,Ice Cream,1_PIECE -> JUNIOR_SCOOP_60GMS,1,1b1efe89-862a-5983-bdf4-88186e54eb7c,,0,0,0,,1,0,7
11,2026-04-09 12:46:41,variant_merge_v1,864a1324-b048-5c0a-aed6-d93b1eb16976,Chocolate Overload (60gm),Ice Cream,24e0b4d4-6535-58e6-b9a7-b7ffbb565770,Chocolate Overload,03c6d171-50c2-597d-92bb-b039e2384761,Eggless Chocolate Overload Ice Cream,Ice Cream,1_PIECE -> JUNIOR_SCOOP_60GMS,1,1964e2af-f261-540b-918f-88f6142d9fbc,,0,0,0,,1,0,16
10,2026-04-09 12:46:18,variant_merge_v1,0963d922-831e-571d-826e-ccb361536687,Paan & Gulkand (60gm),Ice Cream,94ef9647-4895-5e12-8c73-dc56f3b16e89,Paan & Gulkand Ice Cream,94ef9647-4895-5e12-8c73-dc56f3b16e89,Paan & Gulkand Ice Cream,Ice Cream,1_PIECE -> JUNIOR_SCOOP_60GMS,1,eab3a5aa-cd55-5ba2-935b-a77b11f095ed,,0,0,0,,1,0,4
9,2026-04-09 12:46:03,variant_merge_v1,e4fae705-53c5-51a7-bfaf-5786be026735,Pistachio Ice Cream (60gm),Ice Cream,2998b13f-df5c-591e-b432-c0068d41af92,Pistachio Ice Cream,2998b13f-df5c-591e-b432-c0068d41af92,Pistachio Ice Cream,Ice Cream,1_PIECE -> JUNIOR_SCOOP_60GMS,1,ce64affb-58bc-5225-9e49-28282a3fa8d3,,0,0,0,,1,0,8
8,2026-04-09 12:45:48,variant_merge_v1,38385410-5af4-562f-8032-219bf8a9f0b0,Strawberry Cream Cheese (60gm),Ice Cream,a69e1017-d393-55c3-bedb-3c1ee47863de,Strawberry Cream Cheese Ice Cream,a69e1017-d393-55c3-bedb-3c1ee47863de,Strawberry Cream Cheese Ice Cream,Ice Cream,1_PIECE -> JUNIOR_SCOOP_60GMS,1,b67c517d-d57f-5e07-a65c-c861a5550f72,,0,0,0,,1,0,18
5,2026-04-09 12:19:02,variant_merge_v1,4511c0ea-483e-56f0-b1fe-cfe8ae07f955,Cakes & Cookies (60gm),Dessert,2cc74902-f399-55c4-a9e9-af2bb86163d9,Cakes & Cookies Ice Cream,2cc74902-f399-55c4-a9e9-af2bb86163d9,Cakes & Cookies Ice Cream,Ice Cream,1_PIECE -> JUNIOR_SCOOP_60GMS,1,dd5c22ae-5d52-54d8-b217-151793655371,,0,0,0,,1,0,5
4,2026-04-09 12:18:11,variant_merge_v1,98ada5cf-2346-5469-8dd8-d5c7563310ad,Butter Waffle Cone [2 Pieces],Extra,ea85deb5-d9a0-5db9-8ff0-5452fc2e9c2b,Butter Waffle Cones,ea85deb5-d9a0-5db9-8ff0-5452fc2e9c2b,Butter Waffle Cones,Extra,1_PIECE -> 2_PIECES,1,f6a4c580-c0e1-58d7-9f51-413650c33215,,0,0,0,,1,0,34
3,2026-04-09 12:17:55,variant_merge_v1,b8c4d656-15bb-549b-a981-b6dd6bfbc6dc,Bean-to-Bar Dark Chocolate (60gm),Ice Cream,1dc994ab-1d71-5a0e-88e3-2156390b68cd,Bean-to-Bar Dark Chocolate Ice Cream,1dc994ab-1d71-5a0e-88e3-2156390b68cd,Bean-to-Bar Dark Chocolate Ice Cream,Ice Cream,1_PIECE -> JUNIOR_SCOOP_60GMS,1,e4cff3cf-a673-5e7b-b738-ceff5b991c12,,0,0,0,,1,0,10
2,2026-04-09 12:13:16,variant_merge_v1,7557ac1b-90c3-5a19-b8dd-c9fa66917eaa,Banoffee Sample,Ice Cream,3358e3dc-46e1-5629-9f0b-e685060cf875,Eggless Banoffee Ice Cream,4ea8d0a8-f4a7-5ba2-8d04-dae39188c24a,Banoffee Ice Cream,Ice Cream,1_PIECE -> JUNIOR_SCOOP_60GMS,1,7449dbb6-75ef-5e31-a0ab-a84c75401451,,0,0,0,,1,0,1
