name,type,variant
"Dates & Chocolate Eggless )',",DESSERT,300_ML
"Dates & Chocolate Eggless )',",DESSERT,300_ML
"Dates Rose & Nuts Ice Cream )',",ICE_CREAM,160_GMS
"Dates Rose & Nuts Ice Cream )',",ICE_CREAM,160_GMS
"Dates Rose & Nuts Ice Cream )',",ICE_CREAM,120_GM
"Dates With Fig & Orange )',",DESSERT,500_GMS
"Dates With Fig & Orange )',",DESSERT,160_GMS
"Dates With Fig & Orange )',",DESSERT,160_GMS
"Dates With Fig & Orange )',",DESSERT,120_GM
"Dates With Fig & Orange )',",DESSERT,220_GMS
"Dates With Fig & Orange Eggless )',",DESSERT,700_ML
"Dates With Fig & Orange Eggless )',",DESSERT,725_ML
"Dates With Fig & Orange Eggless )',",DESSERT,200_ML
"Dates With Fig & Orange Eggless ',",DESSERT,REGULAR_SCOOP
"Dates With Fig & Orange Eggless )',",DESSERT,300_ML
"Dates With Fig & Orange )',",DESSERT,160_GMS
"Dates With Fig & Orange Eggless )',",DESSERT,300_ML
"Design Family Pack Of 3 Ice Creams',",ICE_CREAM,1_PIECE
"Design Family Pack Of 3 Ice Creams ',",ICE_CREAM,200_ML
"Design Your Indulgence Duo',",COMBO,1_PIECE
"Design Your Indulgence Duo Ice Creams ',",ICE_CREAM,200_ML
"Egg Based Paan & Gulkand Ice Cream )',",ICE_CREAM,160_GMS
"Egg Based Paan & Gulkand Ice Cream )',",ICE_CREAM,220_GMS
"Egg Strawberry Cream Cheese Ice Cream )',",ICE_CREAM,160_GMS
"Egg Strawberry Cream Cheese Ice Cream )',",ICE_CREAM,220_GMS
"Eggless Alphanso Mango Ice Cream )',",ICE_CREAM,200_GMS
"Eggless Banoffee Ice Cream )',",ICE_CREAM,725_ML
"Eggless Banoffee Ice Cream )',",ICE_CREAM,700_ML
"Eggless Banoffee Ice Cream )',",ICE_CREAM,725_ML
"Eggless Banoffee Ice Cream ',",ICE_CREAM,JUNIOR_SCOOP
"Eggless Banoffee Ice Cream )',",ICE_CREAM,200_ML
"Eggless Banoffee Ice Cream )',",ICE_CREAM,300_ML
"Eggless Banoffee Ice Cream ',",ICE_CREAM,REGULAR_SCOOP
"Eggless Banoffee Ice Cream )',",ICE_CREAM,220_GMS
"Eggless Banoffee Ice Cream )',",ICE_CREAM,300_ML
"Eggless Cherry & Chocolate Ice Cream )',",ICE_CREAM,725_ML
"Eggless Cherry & Chocolate Ice Cream )',",ICE_CREAM,725_ML
"Eggless Cherry & Chocolate Ice Cream )',",ICE_CREAM,200_ML
"Eggless Cherry & Chocolate Ice Cream )',",ICE_CREAM,300_ML
"Eggless Cherry & Chocolate Ice Cream ',",ICE_CREAM,REGULAR_SCOOP
"Eggless Cherry & Chocolate Ice Cream )',",ICE_CREAM,220_GMS
"Eggless Cherry & Chocolate Ice Cream )',",ICE_CREAM,300_ML
"Eggless Cherry & Chocolate Ice Cream )',",ICE_CREAM,300_ML
"Eggless Cherry & Chocolate Ice Cream )',",ICE_CREAM,300_ML
"Eggless Chocolate Ice Cream )',",ICE_CREAM,725_ML
"Eggless Chocolate Ice Cream )',",ICE_CREAM,700_ML
"Eggless Chocolate Ice Cream )',",ICE_CREAM,725_ML
"Eggless Chocolate Ice Cream ',",ICE_CREAM,JUNIOR_SCOOP
"Eggless Chocolate Ice Cream )',",ICE_CREAM,200_ML
"Eggless Chocolate Ice Cream )',",ICE_CREAM,300_ML
"Eggless Chocolate Ice Cream )',",ICE_CREAM,325_ML
"Eggless Chocolate Ice Cream ',",ICE_CREAM,PERFECT_PLENTY
"Eggless Chocolate Ice Cream ',",ICE_CREAM,REGULAR_SCOOP
"Eggless Chocolate Ice Cream )',",ICE_CREAM,300_ML
"Eggless Chocolate Overload )',",DESSERT,725_ML
"Eggless Chocolate Overload )',",DESSERT,500_GMS
"Eggless Chocolate Overload )',",DESSERT,700_ML
"Eggless Chocolate Overload )',",DESSERT,725_ML
"Eggless Chocolate Overload )',",DESSERT,60_GM
